figure_id,figure_name,rarity,probability,box_price_rm
JJK01,Yuji Itadori,regular,1/12,62.00
JJK02,Megumu Fushiguro,regular,1/12,62.00
JJK03,Nobara Kugisaki,regular,1/12,62.00
JJK04,Satoru Gojo,regular,1/12,62.00
JJK05,Maki Zenin,regular,1/12,62.00
JJK06,Toge Inumaki,regular,1/12,62.00
JJK07,Panda,regular,1/12,62.00
JJK08,Kento Nanami,regular,1/12,62.00
JJK09,Aoi Todo,regular,1/12,62.00
JJK10,Mai Zenin,regular,1/12,62.00
JJK11,Kasumi Miwa,regular,1/12,62.00
JJK12,Utahime Iori,regular,1/12,62.00
JJK13,Sukuna,secret,1/144,62.00
CRY01,Blossom,regular,1/12,49.8
CRY02,Bubbles,regular,1/12,49.8
CRY03,Buttercup,regular,1/12,49.8
CRY04,Bunny Blossom,regular,1/12,49.8
CRY05,Bunny Bubbles,regular,1/12,49.8
CRY06,Bunny Buttercup,regular,1/12,49.8
CRY07,Bedtime Bubbles,regular,1/12,49.8
CRY08,Brushing Teeth Blossom,regular,1/12,49.8
CRY09,Sleepy Buttercup,regular,1/12,49.8
CRY10,The Professor,regular,1/12,49.8
CRY11,The Mayor,regular,1/12,49.8
CRY12,Mojo Jojo,regular,1/12,49.8
CRY13,Princess Morbucks,secret,1/144,49.8
HIR01,Amnesia,regular,1/12,49.8
HIR02,Cuckoo,regular,1/12,49.8
HIR03,The Ghost,regular,1/12,49.8
HIR04,Vargrancy,regular,1/12,49.8
HIR05,Monster,regular,1/12,49.8
HIR06,Fox,regular,1/12,49.8
HIR07,Stutter,regular,1/12,49.8
HIR08,Alien,regular,1/12,49.8
HIR09,Persona,regular,1/12,49.8
HIR10,Protect,regular,1/12,49.8
HIR11,Nowhere,regular,1/12,49.8
HIR12,Blindness,regular,1/12,49.8
HIR13,Dreaming,secret,1/144,49.8
